framework,time_train_s,metric_error,time_infer_s,bestdiff,loss_rescaled,time_train_s_rescaled,time_infer_s_rescaled,rank,rank=1_count,rank=2_count,rank=3_count,rank>3_count,error_count
XGBoost_r86,90.9375179429208,83303.1967547312,0.00018588394577979652,0.2394482718332076,0.07248406059907817,55.42631311628124,32.32651700450509,234.81720430107526,0,1,0,92,11
LightGBM_r81,36.039293798307575,78420.60091968751,0.00027548132283476,0.239561939797991,0.07762451049274471,15.56653024674881,54.7000675775216,234.95833333333334,0,0,0,96,8
CatBoost_r20,113.79107979752801,87967.88972147727,0.000630835353543238,0.2319721099835574,0.07148427625868074,194.17221654587772,4.882888122679888,235.67613636363637,1,0,1,86,16
XGBoost_r149,37.329362204339766,86358.02751644445,0.0001279455076748103,0.24522729708500832,0.07015289804819719,31.82815508290806,17.324550762524837,236.08333333333334,0,0,0,90,14
XGBoost_r182,15.769676415125529,86338.7167148889,8.944456596828044e-05,0.24430490233261284,0.06743677610422454,13.81575458271991,10.781344870294078,236.18333333333334,0,0,0,90,14
LightGBM_r28,64.46890239000321,74733.2894346,0.0002744525429092571,0.2408781010243711,0.07509150344231412,29.190580991828025,75.34860288608604,236.235,0,0,0,100,4
XGBoost_r200,14.090447085627009,86947.80266662921,9.577213290635848e-05,0.25211481485144904,0.07364375351381082,14.978922219362468,11.002629838840692,236.86516853932585,0,0,0,89,15
LightGBM_r85,31.61718075474103,79176.89763927083,0.00022247074763059218,0.2439043090899586,0.07961895619569138,12.311862306424677,32.174394568210445,236.98958333333334,0,0,0,96,8
XGBoost_r99,43.96869867521784,84250.86502836956,0.00012063796768878065,0.24782274316929948,0.07635909093206868,27.04269922565355,19.197209981493042,237.02717391304347,0,0,2,90,12
XGBoost_r153,39.872927045822145,86205.48504133335,0.00014702879648197898,0.24959634186415675,0.07270174150604888,35.84653521221381,24.383152256721356,237.2277777777778,1,2,1,86,14
CatBoost_r82,32.49497269392013,97163.032005,0.0005928568726767737,0.23409878487123859,0.0631225633353468,53.661003715748066,3.4044360749111213,237.38125,0,0,0,80,24
XGBoost_r192,17.47426764170329,85775.78700255556,9.004917798083456e-05,0.2468822414784542,0.06985086260198524,15.20567914294801,11.286156176410836,238.07222222222222,0,0,0,90,14
XGBoost_r2,256.7712744848401,76305.0681517647,9.261475501102513e-05,0.24283865973426572,0.06773538129227642,66.04968886780205,19.16242700631143,238.13725490196077,0,0,1,101,2
XGBoost_r112,40.59142427444458,86077.31381333333,0.00012649844649637035,0.24508373219362634,0.06964595976667719,33.12415629744272,19.3501367661371,238.25,0,0,0,90,14
XGBoost_r136,27.02041826248169,87067.55752877778,0.00010215762765222333,0.2457875737628897,0.0695779718100838,23.045798777191248,13.7366597916456,238.4388888888889,0,0,0,90,14
LightGBM_r38,26.7389538167703,76846.50426131314,0.00020042870841427228,0.24215622545868942,0.07823884130536987,20.849030034153945,79.201225733856,238.45454545454547,0,0,0,99,5
